"Freq [GHz]","dB(ActiveS(1:1)) []","dB(ActiveS(2:1)) []","dB(ActiveS(3:1)) []","dB(ActiveS(4:1)) []","dB(ActiveS(5:1)) []","dB(ActiveS(6:1)) []","dB(ActiveS(7:1)) []","dB(ActiveS(8:1)) []","dB(ActiveS(9:1)) []","dB(ActiveS(10:1)) []","dB(ActiveS(11:1)) []","dB(ActiveS(12:1)) []","dB(ActiveS(13:1)) []","dB(ActiveS(14:1)) []","dB(ActiveS(15:1)) []","dB(ActiveS(16:1)) []"
8.8,-12.2385830614941,-7.87757057285306,-11.9931132463501,-7.84294075172905,-12.0503531055877,-7.82538697132336,-12.1712538502295,-7.85441545652663,-7.89884070609174,-12.2579585743127,-7.78340458031558,-12.0695787033175,-7.79385160790686,-12.1282098008497,-7.90122440536369,-12.2226216711195
9,-13.5022768187435,-8.51761685951197,-12.0175322940827,-8.08813981788311,-12.0894921133821,-8.07913530355453,-13.4097789364645,-8.5070891455181,-8.53777171883468,-13.5195714242512,-8.0288984926317,-12.0937991655479,-8.01215372247058,-12.167794383424,-8.55645686026867,-13.4747604240689
9.2,-15.6632951518318,-9.45380076130253,-12.7493329908781,-8.59564694247502,-12.8368451452098,-8.60248934642505,-15.5362856746665,-9.46575772269515,-9.48482806174663,-15.6765843397894,-8.54562649048481,-12.8262880764398,-8.49811059194507,-12.9202110933041,-9.51800608798482,-15.6251403982581
9.4,-18.2662648555719,-10.5376043928889,-13.7575252943499,-9.10459354702116,-13.8610298161393,-9.12778849658694,-18.1372624880163,-10.5688549852791,-10.5657645338797,-18.3530961723379,-9.06562694810479,-13.8319929576613,-8.99329948553675,-13.9338701567892,-10.6421105918214,-18.2128465995321
9.6,-18.2858905462839,-11.4365033868638,-14.4650937523728,-8.98599261354378,-14.5734494827265,-9.04071893630867,-18.2381133891546,-11.5102245673148,-11.4823706481195,-18.417151956163,-8.98083231609611,-14.5099615527268,-8.88655595619661,-14.6413549670972,-11.5911214940304,-18.3075287922615
9.8,-15.0626810994761,-13.9474795059844,-15.9282201846633,-9.69261243910663,-16.0828036819723,-9.76510885936806,-15.0855178703782,-14.0442327371134,-13.9517523075934,-15.1071948987632,-9.73367555379919,-15.8740507021496,-9.61489443215946,-16.0762023537631,-14.1024064532535,-15.0278997291367
10,-14.5337081140298,-9.89882306285495,-10.7062282258036,-9.31266126128408,-10.8093498831354,-9.43298469693493,-14.6032640953419,-9.98619175956515,-9.95816670860154,-14.6082161485242,-9.40166258005012,-10.7239805828848,-9.345782498594,-10.8007799666653,-10.0175532283891,-14.6228060288304
10.2,-8.15180693601626,-9.43272875165571,-6.00054531643428,-10.4836500532069,-6.00717617027484,-10.6276630927358,-8.15067379912036,-9.52264871286432,-9.51606211831561,-8.2068123815406,-10.6458501060468,-5.97761969297126,-10.5649299419941,-5.98133286779069,-9.50368577740301,-8.1239315305981
